182,FFIV,149,200,696610,171,30,Information Technology,LOW,STABLE,ANY
183,FIS,94,116,1868285,106,21,Information Technology,LOW,STABLE,ANY
184,FISV,68,91,2829712,78,29,Information Technology,HIGH,STABLE,BUDGET
185,FITB,22,35,6715710,28,44,Financials,HIGH,GROWTH,BUDGET
186,FL,40,68,3027113,52,54,Consumer Discretionary,HIGH,GROWTH,BUDGET
187,FLIR,41,64,986852,52,45,Information Technology,LOW,GROWTH,BUDGET
188,FLR,30,62,1695621,46,70,Industrials,LOW,GROWTH,BUDGET
189,FLS,36,57,1200821,46,46,Industrials,LOW,GROWTH,BUDGET
190,FLT,172,252,771276,211,38,Information Technology,LOW,GROWTH,ANY
191,FMC,60,81,1254498,74,28,Materials,LOW,STABLE,BUDGET
192,FOX,35,52,4364883,45,37,Communication Services,HIGH,STABLE,BUDGET
193,FOXA,36,52,11180255,45,36,Communication Services,HIGH,STABLE,BUDGET
194,FRC,79,107,1316677,97,28,Financials,LOW,STABLE,BUDGET
195,FRT,111,139,410877,126,23,Real Estate,LOW,STABLE,ANY
196,FTI,18,34,3810433,27,59,Energy,HIGH,GROWTH,BUDGET
197,FTNT,53,94,1984102,74,55,Information Technology,LOW,GROWTH,BUDGET
198,FTV,63,88,2893717,78,33,Industrials,HIGH,STABLE,BUDGET
199,GD,144,230,1508450,186,46,Industrials,LOW,GROWTH,ANY
200,GE,6,15,94989792,11,78,Industrials,HIGH,GROWTH,BUDGET
201,GILD,60,80,7154108,70,27,Health Care,HIGH,STABLE,BUDGET
202,GIS,36,52,5168672,44,35,Consumer Staples,HIGH,STABLE,BUDGET
203,GLW,26,37,5326260,31,33,Information Technology,HIGH,STABLE,BUDGET
204,GM,31,45,11376243,37,39,Consumer Discretionary,HIGH,GROWTH,BUDGET
205,GOOG,970,1274,1602805,1125,27,Communication Services,LOW,STABLE,ANY
206,GOOGL,978,1291,1861862,1134,28,Communication Services,LOW,STABLE,ANY
207,GPC,87,115,903797,99,29,Consumer Discretionary,LOW,STABLE,BUDGET
208,GPN,95,139,1144180,117,38,Information Technology,LOW,GROWTH,ANY
209,GPS,24,34,5275113,28,35,Consumer Discretionary,HIGH,STABLE,BUDGET
210,GRMN,57,90,1066812,67,48,Consumer Discretionary,LOW,GROWTH,BUDGET
211,GS,152,263,3319962,215,52,Financials,HIGH,GROWTH,ANY
212,GWW,265,372,635644,310,34,Industrials,LOW,STABLE,ANY
213,HAL,25,55,9617165,38,79,Energy,HIGH,GROWTH,BUDGET
214,HAS,77,110,1300224,92,36,Consumer Discretionary,LOW,STABLE,BUDGET
215,HBAN,11,17,11528737,14,37,Financials,HIGH,STABLE,BUDGET
216,HBI,12,23,6171742,18,62,Consumer Discretionary,HIGH,GROWTH,BUDGET
217,HCA,93,147,1797281,125,44,Health Care,LOW,GROWTH,ANY
218,HCP,22,32,3272262,27,38,Real Estate,HIGH,GROWTH,BUDGET
219,HD,158,215,4753553,189,30,Consumer Discretionary,HIGH,STABLE,ANY
220,HES,36,75,3754746,60,66,Energy,HIGH,GROWTH,BUDGET
221,HFC,47,83,2591369,63,58,Energy,HIGH,GROWTH,BUDGET
222,HIG,41,55,2400073,49,30,Financials,HIGH,STABLE,BUDGET
223,HII,174,268,390795,222,42,Industrials,LOW,GROWTH,ANY
224,HLT,64,89,3211083,78,33,Consumer Discretionary,HIGH,STABLE,BUDGET
225,HOG,31,47,2283163,40,38,Consumer Discretionary,HIGH,GROWTH,BUDGET
226,HOLX,35,49,2131628,42,33,Health Care,LOW,STABLE,BUDGET
227,HON,123,163,2916683,147,27,Industrials,HIGH,STABLE,ANY
228,HP,45,74,1341207,62,48,Energy,LOW,GROWTH,BUDGET
229,HPE,12,18,11048283,16,37,Information Technology,HIGH,STABLE,BUDGET
230,HPQ,18,27,9821637,23,38,Information Technology,HIGH,GROWTH,BUDGET
231,HRB,22,30,3057423,26,29,Consumer Discretionary,HIGH,STABLE,BUDGET
232,HRL,34,46,2735894,40,30,Consumer Staples,HIGH,STABLE,BUDGET
233,HRS,123,176,891980,155,34,Industrials,LOW,STABLE,ANY
234,HSIC,54,72,1821208,61,29,Health Care,LOW,STABLE,BUDGET
235,HST,16,22,6741439,20,33,Real Estate,HIGH,STABLE,BUDGET
236,HSY,89,117,1210977,102,27,Consumer Staples,LOW,STABLE,ANY
237,HUM,252,356,825541,305,34,Health Care,LOW,STABLE,ANY
238,IBM,106,162,5080068,137,41,Information Technology,HIGH,GROWTH,ANY
239,ICE,68,83,2717171,75,20,Financials,HIGH,STABLE,BUDGET
